system:index,LST_Day_Rural,LST_Day_Urban,LST_Night_Urban,UHI_Index,city,date,.geo
2000_02_18,,,,,Ahmedabad,2000-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_02_26,36.87667461368368,36.70297134847622,16.93328601945196,-0.1737032652074646,Ahmedabad,2000-02-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_05,35.58305771809704,35.49329176198559,15.743186357710428,-0.08976595611144944,Ahmedabad,2000-03-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_13,38.41048980878185,38.177934798752396,17.878002005049787,-0.23255501002945067,Ahmedabad,2000-03-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_21,41.10253532582087,40.975506798592484,18.1309475116784,-0.12702852722838287,Ahmedabad,2000-03-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_29,44.57345864877052,44.17107655031613,22.761145671906167,-0.4023820984543889,Ahmedabad,2000-03-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_06,46.982237811730386,46.41333053088181,23.6225343909542,-0.5689072808485776,Ahmedabad,2000-04-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_14,44.85483898797177,44.33273619246478,25.272608942022842,-0.5221027955069886,Ahmedabad,2000-04-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_22,43.9163867984526,43.774809644041724,25.699916456260233,-0.14157715441087504,Ahmedabad,2000-04-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_30,46.02638214627478,45.70685364328538,27.43372383859934,-0.3195285029893995,Ahmedabad,2000-04-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_08,41.175340042941436,40.25175927452599,24.640725474031385,-0.923580768415448,Ahmedabad,2000-05-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_16,41.462629726482845,37.66454473301293,26.063591428193522,-3.7980849934699137,Ahmedabad,2000-05-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_24,42.9320233820825,42.994575200112386,26.32801881758182,0.0625518180298883,Ahmedabad,2000-05-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_06_01,42.29172510844305,41.019168071330654,27.499264796231845,-1.2725570371123993,Ahmedabad,2000-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_06_09,41.16218691431735,39.4062852063994,22.920817565343363,-1.7559017079179498,Ahmedabad,2000-06-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_06_17,37.542550860559146,37.204209172738985,25.036297838466755,-0.3383416878201615,Ahmedabad,2000-06-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_06_25,,,,,Ahmedabad,2000-06-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_07_03,,,,,Ahmedabad,2000-07-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_07_11,,,,,Ahmedabad,2000-07-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_07_19,31.870000000000005,,,,Ahmedabad,2000-07-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_07_27,,,,,Ahmedabad,2000-07-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_08_04,,,,,Ahmedabad,2000-08-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_08_12,,,,,Ahmedabad,2000-08-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_08_20,,,,,Ahmedabad,2000-08-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_08_28,,,,,Ahmedabad,2000-08-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_09_05,32.7329914150385,34.39450819672135,22.141885245901662,1.6615167816828489,Ahmedabad,2000-09-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_09_13,34.75713013111498,34.7268745876263,22.401381820027467,-0.030255543488678427,Ahmedabad,2000-09-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_09_21,37.67044819587235,37.35884126164967,25.924658024953732,-0.3116069342226808,Ahmedabad,2000-09-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_09_29,39.50323933853229,38.31732587818364,23.85862043004829,-1.185913460348651,Ahmedabad,2000-09-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_10_07,35.87141736317932,35.68946554149089,24.369606188466975,-0.18195182168842905,Ahmedabad,2000-10-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_10_15,41.06377747042497,39.93439979829287,21.449668659139572,-1.1293776721320938,Ahmedabad,2000-10-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_10_23,38.70697583685215,37.798654786349864,21.40385010266942,-0.9083210505022876,Ahmedabad,2000-10-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_10_31,37.909952441480634,37.29972941111457,19.14415056457109,-0.6102230303660647,Ahmedabad,2000-10-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_08,36.76920447281535,36.093150014996006,19.875100350722594,-0.6760544578193475,Ahmedabad,2000-11-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
