system:index,LST_Day_Rural,LST_Day_Urban,LST_Night_Urban,UHI_Index,city,date,.geo
2000_02_18,,,,,Chennai,2000-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_02_26,32.505141649898604,32.42885578786913,23.054152285601404,-0.07628586202947218,Chennai,2000-02-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_05,32.78350897638403,32.397334889998106,24.968154281185086,-0.3861740863859211,Chennai,2000-03-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_13,34.69857999003267,33.69857743677183,24.74434839443027,-1.0000025532608419,Chennai,2000-03-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_21,34.300199878781214,33.63551841469311,24.487298405026603,-0.6646814640881047,Chennai,2000-03-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_29,33.78670813203147,33.15173515642419,24.90360035669171,-0.6349729756072833,Chennai,2000-03-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_06,36.12480831110371,34.97985385595448,26.579158360188877,-1.1449544551492323,Chennai,2000-04-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_14,38.63772710564564,36.65704560601737,25.944767844108046,-1.9806814996282682,Chennai,2000-04-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_22,38.8994005782204,33.29000000000005,26.41000000000004,-5.609400578220352,Chennai,2000-04-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_30,38.412319476326715,36.60840916469554,25.172947915217314,-1.8039103116311779,Chennai,2000-04-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_08,43.27376603740355,43.193387268736295,27.338383192223265,-0.08037876866725213,Chennai,2000-05-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_16,39.789842310106785,38.65764345100179,27.427314382472208,-1.1321988591049958,Chennai,2000-05-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_24,42.381667029972796,41.06321527563908,27.651666153372375,-1.318451754333715,Chennai,2000-05-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_06_01,40.38183879093202,34.05745225225227,,-6.324386538679754,Chennai,2000-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_06_09,42.81222589786599,41.52235301685323,,-1.2898728810127622,Chennai,2000-06-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_06_17,34.1217834985072,34.59828310696097,25.133291308389527,0.4764996084537714,Chennai,2000-06-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_06_25,34.35281883808873,,,,Chennai,2000-06-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_07_03,37.14463869168358,35.81,,-1.3346386916835797,Chennai,2000-07-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_07_11,35.633634349891715,35.577801359983546,25.65127446715967,-0.05583298990816843,Chennai,2000-07-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_07_19,36.9175641035803,36.2947628285068,22.190000000000026,-0.622801275073499,Chennai,2000-07-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_07_27,35.074128341951855,35.509384588714596,25.105884011986632,0.4352562467627408,Chennai,2000-07-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_08_04,,,,,Chennai,2000-08-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_08_12,,,,,Chennai,2000-08-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_08_20,29.611246819338458,,,,Chennai,2000-08-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_08_28,36.62428571428574,,,,Chennai,2000-08-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_09_05,35.85736711808586,35.61604081632657,24.95952875695736,-0.24132630175929393,Chennai,2000-09-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_09_13,35.047871799248966,36.084913625443335,25.064737097165033,1.0370418261943684,Chennai,2000-09-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_09_21,31.04000000000002,,,,Chennai,2000-09-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_09_29,,,,,Chennai,2000-09-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_10_07,32.58034865542783,32.24157922010625,22.907223019705107,-0.33876943532157355,Chennai,2000-10-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_10_15,29.481007858150317,34.183571428571454,25.492559523809547,4.7025635704211375,Chennai,2000-10-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_10_23,,,,,Chennai,2000-10-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_10_31,31.622347525186637,31.72288550751534,23.643718067668743,0.10053798232870292,Chennai,2000-10-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_08,30.30233151946424,30.92218604651166,23.918186046511654,0.6198545270474192,Chennai,2000-11-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_16,29.395675410639893,,,,Chennai,2000-11-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_24,29.534099525685345,29.222001333481526,21.808579842204715,-0.31209819220381974,Chennai,2000-11-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_12_02,27.241565659144346,27.274815138282417,20.708053372149475,0.03324947913807108,Chennai,2000-12-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_12_10,29.42782358185149,29.345140477715766,20.070791617095296,-0.08268310413572522,Chennai,2000-12-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_12_18,28.907382261670122,27.356799933917095,20.312187345118154,-1.5505823277530268,Chennai,2000-12-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_12_26,29.85037960498671,30.46749723145075,,0.6171176264640401,Chennai,2000-12-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_01,28.963117560518963,,,,Chennai,2001-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_09,30.560878493757944,29.905680801031654,21.277640142607925,-0.6551976927262899,Chennai,2001-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
