system:index,LST_Day_Rural,LST_Day_Urban,LST_Night_Urban,UHI_Index,city,date,.geo
2000_02_18,,,,,Hyderabad,2000-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_02_26,38.788665431861055,36.57086248380533,19.633767865589103,-2.217802948055727,Hyderabad,2000-02-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_05,42.29405397810068,40.461671991480316,21.23591718185971,-1.8323819866203621,Hyderabad,2000-03-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_13,42.901495216605824,41.176671262719594,23.02833521771505,-1.7248239538862293,Hyderabad,2000-03-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_21,42.36518012223253,40.93611259225432,23.629747228172942,-1.4290675299782123,Hyderabad,2000-03-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_29,44.77404524818109,43.18389411381485,24.38670670261356,-1.5901511343662378,Hyderabad,2000-03-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_06,45.97913513906488,44.10083805760753,26.427129359216703,-1.8782970814573474,Hyderabad,2000-04-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_14,44.14712447823577,42.99612240846314,23.163404662639362,-1.1510020697726304,Hyderabad,2000-04-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_22,47.54741477740173,46.17607097565826,24.97200738958467,-1.371343801743464,Hyderabad,2000-04-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_30,47.14042577018521,46.134953864589576,25.82863574525079,-1.005471905595634,Hyderabad,2000-04-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_08,42.84752781496938,40.69965071414066,24.030913558518957,-2.1478771008287225,Hyderabad,2000-05-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_16,41.6585203429932,39.56357392536611,23.403472766359293,-2.094946417627092,Hyderabad,2000-05-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_24,41.0838795130212,40.60000610426081,,-0.4838734087603953,Hyderabad,2000-05-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_06_01,,,,,Hyderabad,2000-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_06_09,29.9712459970361,29.738070911244478,21.044880064503147,-0.23317508579162194,Hyderabad,2000-06-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_06_17,,,,,Hyderabad,2000-06-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_06_25,35.9149893449176,33.63159405187247,,-2.283395293045132,Hyderabad,2000-06-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_07_03,,,,,Hyderabad,2000-07-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_07_11,29.240000000000038,,,,Hyderabad,2000-07-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_07_19,34.33076898351612,32.608281953995785,,-1.7224870295203374,Hyderabad,2000-07-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_07_27,34.360416788108324,33.83813162160714,21.89993620414675,-0.5222851665011845,Hyderabad,2000-07-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_08_04,33.30204790628808,33.59390191821775,,0.2918540119296722,Hyderabad,2000-08-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_08_12,,,,,Hyderabad,2000-08-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_08_20,,,,,Hyderabad,2000-08-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_08_28,28.84200000000003,,,,Hyderabad,2000-08-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_09_05,31.547403992961367,31.019626308229057,20.122824338190064,-0.5277776847323103,Hyderabad,2000-09-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_09_13,33.24809655393196,33.22132172194429,21.411119820828695,-0.026774831987665948,Hyderabad,2000-09-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_09_21,31.811473146849174,31.091700687249993,21.41568673710128,-0.7197724595991808,Hyderabad,2000-09-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_09_29,35.09097148742256,34.44625479007478,22.05521906735439,-0.6447166973477749,Hyderabad,2000-09-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_10_07,32.269629317929635,32.34098313436354,19.24508846766202,0.07135381643390559,Hyderabad,2000-10-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_10_15,35.48170924146032,35.07247529853915,21.697604716009018,-0.4092339429211691,Hyderabad,2000-10-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_10_23,,,,,Hyderabad,2000-10-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_10_31,33.857745300576035,33.36499417074713,20.61419006695319,-0.49275112982890334,Hyderabad,2000-10-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_08,33.602061388254256,32.79430493656649,18.194849140692877,-0.8077564516877658,Hyderabad,2000-11-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_16,33.61900953534244,32.157784647866094,19.27155826529078,-1.461224887476348,Hyderabad,2000-11-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_24,34.70847622639389,33.22245481665993,17.795659937438497,-1.486021409733958,Hyderabad,2000-11-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
