system:index,LST_Day_Rural,LST_Day_Urban,LST_Night_Urban,UHI_Index,city,date,.geo
2000_02_18,,,,,Jaipur,2000-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_02_26,32.1097105019699,31.51493111583606,12.105450150001495,-0.5947793861338404,Jaipur,2000-02-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_05,32.43003937589001,31.523137214725498,11.19095629774907,-0.9069021611645134,Jaipur,2000-03-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_13,37.00068820490432,36.04947502000465,13.355550040991066,-0.9512131848996717,Jaipur,2000-03-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_21,38.49206336732476,37.436887710380816,14.52810394049356,-1.0551756569439448,Jaipur,2000-03-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_29,44.442071828775134,43.365385069827816,18.060516977550513,-1.076686758947318,Jaipur,2000-03-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_06,48.66133399860715,47.53419482954631,19.029977066139125,-1.1271391690608397,Jaipur,2000-04-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_14,43.99204328437325,43.43475131830969,21.243093359964902,-0.5572919660635662,Jaipur,2000-04-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_22,42.64809695355935,41.97631027407657,21.721343058473302,-0.6717866794827856,Jaipur,2000-04-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_30,48.661400983357936,48.060492607447586,23.732681373127313,-0.6009083759103504,Jaipur,2000-04-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_08,41.78915011286198,42.05559185937863,22.808058962080526,0.266441746516648,Jaipur,2000-05-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_16,43.71644134676361,43.92857082746914,26.526861333991125,0.21212948070552784,Jaipur,2000-05-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_24,43.28612976431117,43.230439305569796,27.253570575882062,-0.055690458741374016,Jaipur,2000-05-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_06_01,42.25367552816173,42.45741865258214,24.991193499586267,0.20374312442041287,Jaipur,2000-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_06_09,35.48407877418718,34.43404371727752,23.787036125654495,-1.050035056909664,Jaipur,2000-06-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_06_17,40.84763383653178,40.20394830795524,23.544756034298643,-0.6436855285765404,Jaipur,2000-06-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_06_25,40.46781817616437,39.758753359131475,25.084691497366478,-0.7090648170328961,Jaipur,2000-06-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_07_03,40.28210961681572,39.684950527297055,24.894090909090945,-0.5971590895186623,Jaipur,2000-07-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_07_11,,,,,Jaipur,2000-07-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_07_19,29.382810060711225,,,,Jaipur,2000-07-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_07_27,35.80104483262132,35.42572514040307,,-0.37531969221825534,Jaipur,2000-07-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_08_04,37.30815048476723,38.07541746180989,21.658778008434,0.7672669770426594,Jaipur,2000-08-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_08_12,,,,,Jaipur,2000-08-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_08_20,34.90939628048971,33.925683459612785,24.905158846204994,-0.9837128208769244,Jaipur,2000-08-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_08_28,30.49836130306023,,,,Jaipur,2000-08-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
