system:index,LST_Day_Rural,LST_Day_Urban,LST_Night_Urban,UHI_Index,city,date,.geo
2000_02_18,,,,,Mumbai,2000-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_02_26,40.170713299896406,36.05046724405033,21.321967349832192,-4.120246055846074,Mumbai,2000-02-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_05,37.85608229434601,33.60189856693843,20.07607532896494,-4.254183727407579,Mumbai,2000-03-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_13,40.888048200382734,35.868366715609945,21.362860265190186,-5.019681484772789,Mumbai,2000-03-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_21,41.852668077972574,37.063458271158204,22.783117354514854,-4.78920980681437,Mumbai,2000-03-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_29,42.32749162788581,37.33122157318665,24.615976974990108,-4.99627005469916,Mumbai,2000-03-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_06,42.527446424999255,36.98802070293701,24.526692826191653,-5.539425722062248,Mumbai,2000-04-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_14,41.51131332630715,36.52664918915159,24.48679117462826,-4.984664137155562,Mumbai,2000-04-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_22,43.249032533601316,38.26545613358444,24.556977249094476,-4.983576400016872,Mumbai,2000-04-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_30,41.26997043690104,35.9594745703957,24.329921090745675,-5.310495866505342,Mumbai,2000-04-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_08,37.90249007622434,33.09303920614848,24.48184551026367,-4.809450870075857,Mumbai,2000-05-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_16,34.3354783723078,32.936019074532005,23.161822677499153,-1.3994592977757918,Mumbai,2000-05-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_24,36.901826713096895,33.79213485434917,25.301428571428605,-3.1096918587477234,Mumbai,2000-05-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_06_01,,,,,Mumbai,2000-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_06_09,28.114631200205636,29.27502127659577,20.812370475514577,1.160390076390133,Mumbai,2000-06-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_06_17,30.360000000000024,,,,Mumbai,2000-06-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_06_25,30.97555213810897,34.80344447939607,,3.8278923412871,Mumbai,2000-06-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_07_03,,,,,Mumbai,2000-07-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_07_11,,,,,Mumbai,2000-07-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
