system:index,LST_Day_Rural,LST_Day_Urban,LST_Night_Urban,UHI_Index,city,date,.geo
2000_02_18,,,,,Pune,2000-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_02_26,41.912428516718194,42.074102491459065,18.44167319390054,0.16167397474087153,Pune,2000-02-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_05,43.21201280895572,43.34767761996813,17.913296747625886,0.13566481101241123,Pune,2000-03-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_13,45.769869396607696,45.61828595543552,19.2990357866307,-0.15158344117217837,Pune,2000-03-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_21,43.68784228528292,43.707914962278196,20.281456805198225,0.020072676995276595,Pune,2000-03-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_29,47.24023808008293,47.19210717966334,24.18717210580561,-0.04813090041959356,Pune,2000-03-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_06,48.878347028410005,49.03484156489347,23.06672630925279,0.15649453648346423,Pune,2000-04-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_14,47.59112865848626,47.639392383968065,24.527027247729393,0.04826372548180302,Pune,2000-04-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_22,48.00440729870221,48.17968928203366,23.01534421161117,0.17528198333144474,Pune,2000-04-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_30,48.868900099752885,48.480672518568575,23.996019581364003,-0.3882275811843101,Pune,2000-04-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_08,42.81339539369624,43.870758124310896,21.55733345488327,1.0573627306146562,Pune,2000-05-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_16,39.097874332175486,38.54705910820534,21.224910374538624,-0.5508152239701474,Pune,2000-05-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_24,40.15157809579508,42.3814481957628,,2.2298700999677195,Pune,2000-05-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
