system:index,LST_Day_Rural,LST_Day_Urban,LST_Night_Urban,UHI_Index,city,date,.geo
2000_02_18,,,,,Surat,2000-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_02_26,37.86694694986975,37.66140053085478,18.519950787308645,-0.20554641901497206,Surat,2000-02-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_05,35.633349185496186,35.0194759981212,17.75433142320341,-0.6138731873749848,Surat,2000-03-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_13,37.620795738010045,36.79178853346414,19.49225619429463,-0.8290072045459027,Surat,2000-03-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_21,39.84010451964969,39.48207776215645,19.31688049643673,-0.3580267574932421,Surat,2000-03-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_29,41.10907898739846,40.81765312356808,22.767928249579967,-0.2914258638303835,Surat,2000-03-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_06,40.61822542143198,40.165798955314926,23.2169193228611,-0.4524264661170534,Surat,2000-04-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_14,39.66726919742288,39.302482511124964,24.153712904923673,-0.36478668629791855,Surat,2000-04-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_22,40.364947726024866,40.13258487661887,25.173025264458232,-0.2323628494059946,Surat,2000-04-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_30,40.51213082444639,40.297737546504386,25.773104991061533,-0.21439327794200125,Surat,2000-04-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_08,36.315493183231915,36.690450296397636,23.483619471044253,0.37495711316572056,Surat,2000-05-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_16,35.60456869158881,34.655848388239484,24.36811902231672,-0.9487203033493259,Surat,2000-05-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_24,36.637243501032636,35.6931815994611,24.34385622173037,-0.944061901571537,Surat,2000-05-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_06_01,41.38820959132439,,,,Surat,2000-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_06_09,34.02044844928753,33.183335680052,21.070036283880775,-0.8371127692355316,Surat,2000-06-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_06_17,,,,,Surat,2000-06-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_06_25,38.897177302806746,36.574447484836085,24.905480457882998,-2.322729817970661,Surat,2000-06-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_07_03,,,,,Surat,2000-07-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_07_11,,,,,Surat,2000-07-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_07_19,27.470000000000027,,,,Surat,2000-07-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_07_27,31.280253362527397,31.550000000000033,21.175000000000026,0.26974663747263605,Surat,2000-07-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_08_04,30.93735584415587,,,,Surat,2000-08-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_08_12,,,,,Surat,2000-08-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_08_20,,,,,Surat,2000-08-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_08_28,30.344061415950414,30.378455042702285,19.724954422151093,0.03439362675187141,Surat,2000-08-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_09_05,32.28883170775715,30.655286696071414,21.82764734844601,-1.633545011685733,Surat,2000-09-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_09_13,32.91950486769849,32.101488051373856,22.24905305821667,-0.8180168163246364,Surat,2000-09-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_09_21,34.941287741190244,34.435298832024955,26.16830465822371,-0.5059889091652892,Surat,2000-09-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_09_29,34.48474413868464,33.97711833488765,25.290892405128197,-0.5076258037969907,Surat,2000-09-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_10_07,34.58063768229271,33.12961011442297,25.085117954513386,-1.451027567869744,Surat,2000-10-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_10_15,36.228270470089434,35.472907424346396,22.97090517569939,-0.7553630457430387,Surat,2000-10-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
