city,date,year,month,urban_temp_c,uhi_index
Pune,2003-04-15,2003,4,50.06,-0.3728
Pune,2004-04-06,2004,4,49.69,-0.0004
Pune,2003-05-01,2003,5,49.32,-0.4218
Pune,2002-03-22,2002,3,49.17,0.2621
Pune,2000-04-06,2000,4,49.03,0.1565
Pune,2001-05-01,2001,5,48.89,-0.1689
Jaipur,2019-06-02,2019,6,48.76,-0.919
Pune,2001-04-23,2001,4,48.48,-0.1731
Pune,2000-04-30,2000,4,48.48,-0.3882
Pune,2001-04-07,2001,4,48.46,0.3482
Ahmedabad,2002-05-01,2002,5,48.38,-0.3746
Pune,2002-04-23,2002,4,48.3,-0.7029
Pune,2010-04-23,2010,4,48.29,0.2313
Pune,2000-04-22,2000,4,48.18,0.1753
Jaipur,2000-04-30,2000,4,48.06,-0.6009
Pune,2004-04-14,2004,4,47.98,-0.1353
Delhi,2020-05-24,2020,5,47.89,0.535
Pune,2007-05-01,2007,5,47.85,0.661
Pune,2013-05-01,2013,5,47.81,-0.32
Jaipur,2019-06-10,2019,6,47.79,-0.5975
Ahmedabad,2001-04-23,2001,4,47.79,-0.2947
Jaipur,2013-05-01,2013,5,47.76,-0.7833
Pune,2000-04-14,2000,4,47.64,0.0483
Jaipur,2000-04-06,2000,4,47.53,-1.1271
Pune,2012-05-16,2012,5,47.5,0.2346
Pune,2001-04-15,2001,4,47.49,-0.6201
Pune,2003-04-07,2003,4,47.43,0.3828
Pune,2008-04-14,2008,4,47.4,-0.2982
Pune,2003-04-23,2003,4,47.38,-0.3903
Jaipur,2008-04-22,2008,4,47.36,-0.9234
Jaipur,2010-05-17,2010,5,47.3,-0.8427
Pune,2006-04-23,2006,4,47.25,-0.0923
Pune,2006-05-01,2006,5,47.25,-0.0162
Pune,2005-05-17,2005,5,47.24,0.1542
Pune,2000-03-29,2000,3,47.19,-0.0481
Ahmedabad,2009-04-23,2009,4,47.18,-0.052
Jaipur,2013-05-17,2013,5,47.17,-0.747
Jaipur,2012-07-03,2012,7,47.13,-0.7922
Ahmedabad,2001-05-01,2001,5,47.1,-0.499
Ahmedabad,2010-04-23,2010,4,47.06,0.1279
Jaipur,2010-04-07,2010,4,47.05,-0.709
Pune,2019-05-17,2019,5,47.03,-1.0054
Pune,2007-04-23,2007,4,47.01,0.2626
Pune,2005-05-09,2005,5,46.97,0.3505
Pune,2016-04-30,2016,4,46.97,-0.8374
Pune,2004-03-21,2004,3,46.89,-0.2559
Pune,2006-05-09,2006,5,46.88,-0.0611
Jaipur,2016-05-16,2016,5,46.85,-1.5379
Jaipur,2007-04-23,2007,4,46.82,-0.6773
Jaipur,2007-06-02,2007,6,46.8,-0.1877
Pune,2005-04-23,2005,4,46.8,0.1045
Ahmedabad,2005-04-15,2005,4,46.79,0.1052
Pune,2002-03-30,2002,3,46.72,-0.096
Pune,2010-05-09,2010,5,46.7,0.1245
Jaipur,2019-05-25,2019,5,46.69,-1.2584
Pune,2004-04-22,2004,4,46.69,-0.3065
Pune,2004-03-13,2004,3,46.68,-0.0941
Jaipur,2007-05-01,2007,5,46.67,-0.4676
Ahmedabad,2019-04-23,2019,4,46.67,0.1564
Jaipur,2005-06-18,2005,6,46.66,-0.043
Jaipur,2009-04-23,2009,4,46.65,-0.5243
Pune,2001-03-22,2001,3,46.63,0.16
Ahmedabad,2010-05-09,2010,5,46.59,-0.2608
Pune,2003-03-30,2003,3,46.58,-0.0699
Pune,2010-04-07,2010,4,46.58,0.178
Jaipur,2010-06-10,2010,6,46.57,-0.2046
Ahmedabad,2002-04-15,2002,4,46.51,0.012
Pune,2006-04-07,2006,4,46.51,-0.1909
Jaipur,2020-05-24,2020,5,46.5,-0.5481
Pune,2013-04-23,2013,4,46.48,-0.3446
Jaipur,2016-04-30,2016,4,46.41,-1.6338
Ahmedabad,2000-04-06,2000,4,46.41,-0.5689
Delhi,2012-05-24,2012,5,46.39,0.1991
