city,date,year,month,urban_temp_c,rural_temp_c,uhi_index,threshold_p90,severity
Ahmedabad,2000-09-05,2000,9,34.39,32.73,1.6615,1.1479,HIGH
Ahmedabad,2001-08-13,2001,8,29.77,24.62,5.1503,1.1479,CRITICAL
Ahmedabad,2001-08-21,2001,8,31.33,29.84,1.4942,1.1479,HIGH
Ahmedabad,2003-09-22,2003,9,32.56,30.84,1.719,1.1479,HIGH
Ahmedabad,2004-09-13,2004,9,35.6,34.05,1.5452,1.1479,HIGH
Ahmedabad,2005-08-21,2005,8,32.3,29.82,2.4795,1.1479,CRITICAL
Ahmedabad,2008-01-25,2008,1,27.34,26.17,1.1643,1.1479,MODERATE
Ahmedabad,2008-02-10,2008,2,30.0,28.84,1.1677,1.1479,MODERATE
Ahmedabad,2008-02-18,2008,2,32.35,31.14,1.2089,1.1479,MODERATE
Ahmedabad,2008-02-26,2008,2,35.75,34.47,1.2732,1.1479,MODERATE
Ahmedabad,2008-03-05,2008,3,35.64,34.44,1.1978,1.1479,MODERATE
Ahmedabad,2008-03-21,2008,3,39.88,38.69,1.1943,1.1479,MODERATE
Ahmedabad,2009-07-28,2009,7,33.98,32.76,1.2233,1.1479,MODERATE
Ahmedabad,2009-08-13,2009,8,37.53,31.67,5.86,1.1479,CRITICAL
Ahmedabad,2009-08-21,2009,8,35.12,33.68,1.44,1.1479,HIGH
Ahmedabad,2010-02-02,2010,2,31.15,29.94,1.2105,1.1479,MODERATE
Ahmedabad,2010-02-10,2010,2,31.18,29.97,1.2119,1.1479,MODERATE
Ahmedabad,2010-11-09,2010,11,33.47,31.71,1.7579,1.1479,CRITICAL
Ahmedabad,2010-11-17,2010,11,32.93,31.59,1.3412,1.1479,MODERATE
Ahmedabad,2011-02-02,2011,2,30.89,29.73,1.1614,1.1479,MODERATE
Ahmedabad,2011-02-10,2011,2,31.65,30.47,1.1772,1.1479,MODERATE
Ahmedabad,2011-02-18,2011,2,32.36,31.07,1.2872,1.1479,MODERATE
Ahmedabad,2011-02-26,2011,2,34.34,33.16,1.1715,1.1479,MODERATE
Ahmedabad,2011-03-06,2011,3,37.28,36.1,1.1865,1.1479,MODERATE
Ahmedabad,2011-09-22,2011,9,33.06,31.88,1.1811,1.1479,MODERATE
Ahmedabad,2012-02-18,2012,2,33.08,31.79,1.2864,1.1479,MODERATE
Ahmedabad,2012-03-21,2012,3,39.95,38.34,1.6113,1.1479,HIGH
Ahmedabad,2013-01-25,2013,1,28.66,27.49,1.1724,1.1479,MODERATE
Ahmedabad,2013-02-02,2013,2,28.08,26.65,1.4272,1.1479,HIGH
Ahmedabad,2013-02-18,2013,2,31.88,30.67,1.2175,1.1479,MODERATE
Ahmedabad,2014-01-25,2014,1,28.73,27.49,1.2418,1.1479,MODERATE
Ahmedabad,2015-02-10,2015,2,32.11,30.78,1.3273,1.1479,MODERATE
Ahmedabad,2015-08-21,2015,8,32.82,31.48,1.3355,1.1479,MODERATE
Ahmedabad,2015-08-29,2015,8,36.9,33.75,3.1537,1.1479,CRITICAL
Ahmedabad,2015-09-06,2015,9,36.55,34.73,1.8203,1.1479,CRITICAL
Ahmedabad,2015-09-30,2015,9,35.31,34.05,1.2562,1.1479,MODERATE
Ahmedabad,2016-08-12,2016,8,33.47,25.71,7.7575,1.1479,CRITICAL
Ahmedabad,2017-01-25,2017,1,30.64,29.38,1.2635,1.1479,MODERATE
