city,month,hotspot_count,avg_uhi
Ahmedabad,1,16,1.2736
Ahmedabad,2,39,1.3304
Ahmedabad,3,12,1.4047
Ahmedabad,6,2,3.2392
Ahmedabad,7,1,1.2233
Ahmedabad,8,12,2.8804
Ahmedabad,9,8,1.8214
Ahmedabad,11,2,1.5496
Bangalore,3,3,0.504
Bangalore,5,3,0.5137
Bangalore,6,3,1.0775
Bangalore,7,4,0.7637
Bangalore,8,5,1.1464
Bangalore,9,15,0.9756
Bangalore,10,31,0.6379
Bangalore,11,23,0.4818
Bangalore,12,5,0.658
Chennai,1,6,1.7931
Chennai,2,3,1.6747
Chennai,3,1,1.0524
Chennai,4,4,1.6578
Chennai,5,2,1.1139
Chennai,6,6,1.6695
Chennai,7,13,2.6846
Chennai,8,9,2.3794
Chennai,9,18,1.898
Chennai,10,8,2.5261
Chennai,11,9,2.0589
Chennai,12,14,1.8453
Delhi,1,2,1.4435
Delhi,2,12,1.4041
Delhi,3,26,1.2708
Delhi,4,2,1.2878
Delhi,5,1,1.5134
Delhi,6,16,1.9067
Delhi,7,11,2.0604
Delhi,8,22,2.0771
Delhi,9,13,1.323
Delhi,10,1,1.3009
Hyderabad,5,1,0.6154
Hyderabad,6,4,0.6374
Hyderabad,7,5,0.9159
Hyderabad,8,17,0.9028
Hyderabad,9,38,0.9178
Hyderabad,10,29,0.5052
Hyderabad,11,4,0.3292
Jaipur,1,18,0.8547
Jaipur,2,18,0.4377
Jaipur,3,2,0.38
Jaipur,5,3,0.3305
Jaipur,6,6,0.8991
Jaipur,7,11,1.1499
Jaipur,8,28,0.8848
Jaipur,9,13,0.4992
Jaipur,12,6,0.4734
Kochi,1,2,1.5968
Kochi,2,2,1.6727
Kochi,3,6,2.0169
Kochi,4,7,2.0279
Kochi,5,11,1.9465
Kochi,6,6,2.2038
Kochi,7,6,1.9167
Kochi,8,6,1.9006
Kochi,9,11,1.9957
Kochi,10,10,1.7048
Kochi,11,10,2.0252
Kochi,12,11,1.6393
Kolkata,1,1,1.1833
Kolkata,3,3,1.1849
Kolkata,4,7,1.28
Kolkata,5,7,1.7381
Kolkata,6,9,1.5188
Kolkata,8,6,1.359
Kolkata,9,12,1.5741
Kolkata,10,38,1.3908
Kolkata,11,4,1.1505
Mumbai,6,4,2.5724
Mumbai,7,7,0.9969
Mumbai,8,15,0.9366
Mumbai,9,49,0.8159
Mumbai,10,16,0.5209
Pune,1,1,1.1772
Pune,4,1,1.2166
Pune,5,3,1.5745
Pune,6,11,1.8374
Pune,7,8,3.5371
Pune,8,12,2.1395
Pune,9,24,2.029
Pune,10,22,1.511
Pune,11,11,1.4125
Pune,12,2,1.1779
Surat,1,1,0.503
Surat,4,7,0.4743
Surat,5,22,0.5859
Surat,6,10,1.1258
Surat,7,2,0.9787
Surat,8,5,0.7185
Surat,9,9,0.8466
Surat,10,9,0.4437
Surat,11,23,0.4635
Surat,12,2,0.5573
