city,season,decade,avg_uhi,avg_urban_lst,obs
Ahmedabad,Monsoon,2000-2009,-0.1187,35.96,80
Ahmedabad,Monsoon,2010-2019,0.1979,35.94,70
Ahmedabad,Monsoon,2020-2024,0.4539,34.91,31
Ahmedabad,Post-Monsoon,2000-2009,0.2511,35.14,70
Ahmedabad,Post-Monsoon,2010-2019,0.4659,33.78,70
Ahmedabad,Post-Monsoon,2020-2024,0.2718,32.68,33
Ahmedabad,Pre-Monsoon,2000-2009,-0.137,42.55,110
Ahmedabad,Pre-Monsoon,2010-2019,0.1538,41.76,110
Ahmedabad,Pre-Monsoon,2020-2024,0.4,40.29,55
Ahmedabad,Winter,2000-2009,0.4778,30.59,113
Ahmedabad,Winter,2010-2019,0.8212,29.67,119
Ahmedabad,Winter,2020-2024,0.9498,28.7,60
Bangalore,Monsoon,2000-2009,-0.8148,30.86,85
Bangalore,Monsoon,2010-2019,-0.9707,31.06,74
Bangalore,Monsoon,2020-2024,-0.4966,30.42,41
Bangalore,Post-Monsoon,2000-2009,-0.2098,28.75,61
Bangalore,Post-Monsoon,2010-2019,0.1137,29.37,63
Bangalore,Post-Monsoon,2020-2024,-0.0263,27.82,26
Bangalore,Pre-Monsoon,2000-2009,-0.8572,36.27,109
Bangalore,Pre-Monsoon,2010-2019,-0.9568,36.19,109
Bangalore,Pre-Monsoon,2020-2024,-1.3019,34.6,54
Bangalore,Winter,2000-2009,-0.5602,31.36,112
Bangalore,Winter,2010-2019,-0.8768,30.66,120
Bangalore,Winter,2020-2024,-0.8909,29.25,59
Chennai,Monsoon,2000-2009,-0.2323,35.85,103
Chennai,Monsoon,2010-2019,0.1997,36.07,99
Chennai,Monsoon,2020-2024,-0.4286,33.97,47
Chennai,Post-Monsoon,2000-2009,-0.1773,30.18,52
Chennai,Post-Monsoon,2010-2019,0.4908,31.5,55
Chennai,Post-Monsoon,2020-2024,-0.533,29.64,24
Chennai,Pre-Monsoon,2000-2009,-1.0228,37.01,106
Chennai,Pre-Monsoon,2010-2019,-0.6806,37.26,107
Chennai,Pre-Monsoon,2020-2024,-0.3135,35.68,50
Chennai,Winter,2000-2009,-0.2931,30.44,108
Chennai,Winter,2010-2019,-0.3736,30.29,114
Chennai,Winter,2020-2024,-0.0092,29.75,58
Delhi,Monsoon,2000-2009,0.393,34.45,139
Delhi,Monsoon,2010-2019,0.4065,34.84,128
Delhi,Monsoon,2020-2024,0.2562,34.05,65
Delhi,Post-Monsoon,2000-2009,0.012,30.33,70
Delhi,Post-Monsoon,2010-2019,-0.0948,29.6,70
Delhi,Post-Monsoon,2020-2024,-0.3302,28.14,33
Delhi,Pre-Monsoon,2000-2009,0.3339,36.13,110
Delhi,Pre-Monsoon,2010-2019,0.3736,36.61,110
Delhi,Pre-Monsoon,2020-2024,-0.0927,35.3,55
Delhi,Winter,2000-2009,0.3148,21.28,110
Delhi,Winter,2010-2019,0.1835,20.63,110
Delhi,Winter,2020-2024,0.1582,19.95,56
Hyderabad,Monsoon,2000-2009,-0.4425,33.23,97
Hyderabad,Monsoon,2010-2019,-1.2078,33.18,96
