city,date,year,month,urban_temp_c,uhi_index,rank
Ahmedabad,2016-08-12,2016,8,33.47,7.7575,1
Ahmedabad,2009-08-13,2009,8,37.53,5.86,2
Ahmedabad,2001-08-13,2001,8,29.77,5.1503,3
Ahmedabad,2020-06-17,2020,6,35.97,3.9581,4
Ahmedabad,2015-08-29,2015,8,36.9,3.1537,5
Ahmedabad,2022-09-22,2022,9,32.48,2.9437,6
Ahmedabad,2021-06-10,2021,6,38.53,2.5202,7
Ahmedabad,2005-08-21,2005,8,32.3,2.4795,8
Ahmedabad,2017-09-14,2017,9,32.71,2.4443,9
Ahmedabad,2020-03-13,2020,3,35.81,2.4281,10
Bangalore,2017-09-06,2017,9,31.4,3.2477,1
Bangalore,2005-06-18,2005,6,35.92,2.41,2
Bangalore,2010-08-13,2010,8,30.72,2.1312,3
Bangalore,2021-09-22,2021,9,30.42,1.8248,4
Bangalore,2010-12-03,2010,12,28.09,1.8159,5
Bangalore,2010-11-17,2010,11,28.08,1.6518,6
Bangalore,2015-08-21,2015,8,33.25,1.6497,7
Bangalore,2021-09-30,2021,9,31.0,1.6345,8
Bangalore,2013-10-08,2013,10,30.32,1.3867,9
Bangalore,2002-09-14,2002,9,33.49,1.2478,10
Chennai,2000-10-15,2000,10,34.18,4.7026,1
Chennai,2023-07-12,2023,7,34.73,4.5622,2
Chennai,2020-07-27,2020,7,37.87,4.5174,3
Chennai,2001-07-04,2001,7,40.89,4.4501,4
Chennai,2011-07-12,2011,7,39.66,4.3909,5
Chennai,2001-08-21,2001,8,41.16,4.3745,6
Chennai,2017-10-24,2017,10,34.91,4.2684,7
Chennai,2019-09-06,2019,9,37.84,3.8162,8
Chennai,2006-12-03,2006,12,31.62,3.4761,9
Chennai,2011-01-25,2011,1,31.68,3.3335,10
Delhi,2016-08-04,2016,8,37.54,6.7416,1
Delhi,2002-08-29,2002,8,40.12,3.4116,2
Delhi,2004-07-19,2004,7,35.44,3.3303,3
Delhi,2007-06-10,2007,6,31.45,3.173,4
Delhi,2010-08-29,2010,8,31.05,3.0228,5
Delhi,2000-07-27,2000,7,28.89,2.9911,6
Delhi,2018-08-13,2018,8,36.67,2.8454,7
Delhi,2012-02-18,2012,2,25.05,2.7739,8
Delhi,2000-06-17,2000,6,36.55,2.7191,9
Delhi,2016-06-25,2016,6,38.11,2.7081,10
Hyderabad,2017-08-21,2017,8,34.87,3.7879,1
Hyderabad,2007-09-14,2007,9,31.72,3.1797,2
Hyderabad,2001-09-06,2001,9,34.6,2.5555,3
Hyderabad,2007-08-13,2007,8,25.57,2.3217,4
Hyderabad,2020-09-29,2020,9,32.05,2.0754,5
Hyderabad,2010-07-12,2010,7,32.76,2.0676,6
Hyderabad,2017-09-06,2017,9,33.39,1.866,7
Hyderabad,2010-09-30,2010,9,30.13,1.8077,8
Hyderabad,2019-08-21,2019,8,34.78,1.685,9
Hyderabad,2003-09-30,2003,9,33.73,1.6697,10
Jaipur,2015-07-20,2015,7,36.96,3.8717,1
Jaipur,2009-01-09,2009,1,28.15,3.8485,2
Jaipur,2009-08-13,2009,8,33.23,2.2978,3
Jaipur,2006-08-29,2006,8,34.36,1.9649,4
Jaipur,2007-07-20,2007,7,37.26,1.7908,5
Jaipur,2009-08-29,2009,8,32.22,1.6346,6
Jaipur,2020-01-17,2020,1,24.66,1.5502,7
Jaipur,2017-08-13,2017,8,35.01,1.5352,8
Jaipur,2017-01-17,2017,1,24.75,1.4897,9
Jaipur,2003-06-18,2003,6,33.25,1.4503,10
Kochi,2017-11-25,2017,11,31.0,4.2012,1
Kochi,2008-06-09,2008,6,28.34,3.2995,2
Kochi,2016-09-29,2016,9,32.32,3.2191,3
Kochi,2021-03-22,2021,3,37.9,3.1812,4
Kochi,2024-06-09,2024,6,31.26,2.7641,5
Kochi,2014-05-17,2014,5,33.68,2.7121,6
Kochi,2019-11-17,2019,11,32.83,2.6676,7
Kochi,2019-11-09,2019,11,33.03,2.5101,8
Kochi,2013-09-22,2013,9,30.28,2.4734,9
Kochi,2015-07-20,2015,7,31.06,2.4658,10
Kolkata,2011-05-17,2011,5,34.53,2.8948,1
Kolkata,2012-10-31,2012,10,29.73,2.7521,2
Kolkata,2020-06-17,2020,6,34.87,2.4494,3
Kolkata,2014-09-22,2014,9,32.57,2.3182,4
Kolkata,2019-10-16,2019,10,31.13,2.2724,5
Kolkata,2016-09-29,2016,9,31.63,2.2419,6
Kolkata,2018-09-14,2018,9,33.39,2.0916,7
Kolkata,2016-06-01,2016,6,31.97,1.9929,8
Kolkata,2003-09-30,2003,9,31.7,1.9397,9
Kolkata,2017-05-25,2017,5,33.53,1.8942,10
Mumbai,2018-06-26,2018,6,29.68,3.992,1
Mumbai,2000-06-25,2000,6,34.8,3.8279,2
Mumbai,2016-09-29,2016,9,31.79,3.7639,3
Mumbai,2011-08-29,2011,8,28.65,2.378,4
Mumbai,2004-07-19,2004,7,31.8,2.3325,5
Mumbai,2015-09-06,2015,9,32.63,2.0793,6
Mumbai,2005-09-22,2005,9,30.29,1.9521,7
Mumbai,2004-08-28,2004,8,29.32,1.8499,8
Mumbai,2001-09-06,2001,9,30.69,1.818,9
Mumbai,2020-09-21,2020,9,31.93,1.7906,10
Pune,2007-07-20,2007,7,36.55,7.8033,1
Pune,2012-09-29,2012,9,41.6,7.2438,2
Pune,2001-08-13,2001,8,28.02,7.01,3
Pune,2021-07-12,2021,7,37.15,5.2321,4
Pune,2011-09-14,2011,9,34.24,4.867,5
Pune,2019-07-12,2019,7,35.15,3.9458,6
Pune,2010-06-10,2010,6,42.33,3.6945,7
Pune,2015-07-12,2015,7,37.58,3.428,8
Pune,2001-09-14,2001,9,37.45,2.959,9
Pune,2008-07-03,2008,7,27.82,2.8707,10
Surat,2002-06-02,2002,6,37.88,1.7453,1
Surat,2016-09-13,2016,9,33.89,1.4622,2
Surat,2006-09-30,2006,9,33.07,1.4369,3
Surat,2016-07-11,2016,7,30.31,1.4133,4
Surat,2012-06-17,2012,6,32.73,1.3949,5
Surat,2018-05-25,2018,5,39.52,1.3511,6
Surat,2007-06-02,2007,6,39.39,1.3246,7
Surat,2013-06-02,2013,6,41.4,1.2544,8
Surat,2005-06-10,2005,6,39.66,1.2049,9
Surat,2024-06-01,2024,6,39.54,1.1337,10
