city,decade,avg_uhi,avg_urban_lst,avg_rural_lst,avg_night_lst,std_uhi,observations
Ahmedabad,2000-2009,0.126,36.12,36.0,20.55,0.8769,373
Ahmedabad,2010-2019,0.4366,35.24,34.81,21.02,0.8047,369
Ahmedabad,2020-2024,0.57,34.07,33.5,21.53,0.7815,179
Bangalore,2000-2009,-0.6491,32.27,32.92,19.43,0.7201,367
Bangalore,2010-2019,-0.7491,32.17,32.91,20.23,0.9363,366
Bangalore,2020-2024,-0.7995,30.92,31.72,20.75,0.8262,180
Chennai,2000-2009,-0.4694,33.8,34.27,24.47,1.3445,369
Chennai,2010-2019,-0.1831,33.98,34.17,24.88,1.3169,375
Chennai,2020-2024,-0.2746,32.5,32.78,25.34,1.4724,179
Delhi,2000-2009,0.2956,30.83,30.54,17.49,0.8052,429
Delhi,2010-2019,0.2552,30.69,30.43,18.07,0.8863,418
Delhi,2020-2024,0.0456,29.67,29.62,18.62,0.7626,209
Hyderabad,2000-2009,-0.9145,34.8,35.71,21.36,1.0565,387
Hyderabad,2010-2019,-1.3298,34.27,35.6,22.01,1.3122,394
Hyderabad,2020-2024,-1.1466,32.5,33.64,22.75,1.1439,193
Jaipur,2000-2009,-0.5507,34.75,35.3,17.71,0.6458,427
Jaipur,2010-2019,-0.5954,34.03,34.63,18.33,0.7937,421
Jaipur,2020-2024,-0.9192,32.59,33.51,19.09,0.8436,209
Kochi,2000-2009,0.355,30.35,29.99,23.55,0.8249,352
Kochi,2010-2019,0.4928,31.04,30.54,23.96,0.9033,351
Kochi,2020-2024,0.6016,31.04,30.44,24.43,0.8733,167
Kolkata,2000-2009,0.1414,28.79,28.65,20.8,0.5537,350
Kolkata,2010-2019,0.4074,29.04,28.64,20.98,0.6232,355
Kolkata,2020-2024,0.456,28.86,28.41,21.37,0.628,168
Mumbai,2000-2009,-2.791,32.27,35.06,22.55,2.1965,361
Mumbai,2010-2019,-2.7394,31.8,34.54,22.73,2.1897,361
Mumbai,2020-2024,-2.4022,31.16,33.57,23.31,1.8395,180
Pune,2000-2009,0.1892,37.2,37.01,19.66,1.1184,382
Pune,2010-2019,0.121,36.03,35.91,20.46,1.1114,384
Pune,2020-2024,0.0537,34.13,34.08,21.13,0.8691,184
Surat,2000-2009,-0.3312,34.04,34.37,20.79,0.6844,366
Surat,2010-2019,-0.2932,33.82,34.11,21.33,0.544,360
Surat,2020-2024,-0.2319,32.61,32.84,22.23,0.602,180
