city,year,month,predicted_uhi
Bangalore,2025,1,-0.9405
Bangalore,2025,2,-1.3216
Bangalore,2025,3,-1.2907
Bangalore,2025,4,-1.2433
Bangalore,2025,5,-0.2406
Bangalore,2025,6,-0.6809
Bangalore,2025,7,-0.157
Bangalore,2025,8,-0.6129
Bangalore,2025,9,-0.674
Bangalore,2025,10,-0.2378
Bangalore,2025,11,-0.3342
Bangalore,2025,12,-0.7232
Bangalore,2026,1,-0.9405
Bangalore,2026,2,-1.3216
Bangalore,2026,3,-1.2907
Bangalore,2026,4,-1.2433
Bangalore,2026,5,-0.2406
Bangalore,2026,6,-0.6809
Bangalore,2026,7,-0.157
Bangalore,2026,8,-0.6129
Bangalore,2026,9,-0.674
Bangalore,2026,10,-0.2378
Bangalore,2026,11,-0.3342
Bangalore,2026,12,-0.7232
Bangalore,2027,1,-0.9405
Bangalore,2027,2,-1.3216
Bangalore,2027,3,-1.2907
Bangalore,2027,4,-1.2433
Bangalore,2027,5,-0.2406
Bangalore,2027,6,-0.6809
Bangalore,2027,7,-0.157
Bangalore,2027,8,-0.6129
Bangalore,2027,9,-0.674
Bangalore,2027,10,-0.2378
Bangalore,2027,11,-0.3342
Bangalore,2027,12,-0.7232
Bangalore,2028,1,-0.9405
Bangalore,2028,2,-1.3216
Bangalore,2028,3,-1.2907
Bangalore,2028,4,-1.2433
Bangalore,2028,5,-0.2406
Bangalore,2028,6,-0.6809
Bangalore,2028,7,-0.157
Bangalore,2028,8,-0.6129
Bangalore,2028,9,-0.674
Bangalore,2028,10,-0.2378
Bangalore,2028,11,-0.3342
Bangalore,2028,12,-0.7232
Bangalore,2029,1,-0.9405
Bangalore,2029,2,-1.3216
Bangalore,2029,3,-1.2907
Bangalore,2029,4,-1.2433
Bangalore,2029,5,-0.2406
Bangalore,2029,6,-0.6809
Bangalore,2029,7,-0.157
Bangalore,2029,8,-0.6129
Bangalore,2029,9,-0.674
Bangalore,2029,10,-0.2378
Bangalore,2029,11,-0.3342
Bangalore,2029,12,-0.7232
Bangalore,2030,1,-0.9405
Bangalore,2030,2,-1.3216
Bangalore,2030,3,-1.2907
Bangalore,2030,4,-1.2433
Bangalore,2030,5,-0.2406
Bangalore,2030,6,-0.6809
Bangalore,2030,7,-0.157
Bangalore,2030,8,-0.6129
Bangalore,2030,9,-0.674
Bangalore,2030,10,-0.2378
Bangalore,2030,11,-0.3342
Bangalore,2030,12,-0.7232
Delhi,2025,1,0.2315
Delhi,2025,2,0.66
Delhi,2025,3,0.692
Delhi,2025,4,-0.0598
Delhi,2025,5,-0.0892
Delhi,2025,6,0.0038
Delhi,2025,7,0.2949
Delhi,2025,8,0.9042
Delhi,2025,9,0.5209
Delhi,2025,10,0.1693
Delhi,2025,11,-0.0968
Delhi,2025,12,-0.074
Delhi,2026,1,0.2315
Delhi,2026,2,0.66
Delhi,2026,3,0.692
Delhi,2026,4,-0.0598
Delhi,2026,5,-0.0892
Delhi,2026,6,0.0038
Delhi,2026,7,0.2949
Delhi,2026,8,0.9042
Delhi,2026,9,0.5209
Delhi,2026,10,0.1693
Delhi,2026,11,-0.0968
Delhi,2026,12,-0.074
Delhi,2027,1,0.2315
Delhi,2027,2,0.66
Delhi,2027,3,0.692
Delhi,2027,4,-0.0598
Delhi,2027,5,-0.0892
Delhi,2027,6,0.0038
Delhi,2027,7,0.2949
