city,year,month,avg_uhi,avg_urban_lst,avg_rural_lst,avg_night_lst,min_uhi,max_uhi,observations
Ahmedabad,2000,2,-0.1737,36.7,36.88,16.93,-0.1737,-0.1737,1
Ahmedabad,2000,3,-0.2129,39.7,39.92,18.63,-0.4024,-0.0898,4
Ahmedabad,2000,4,-0.388,45.06,45.44,25.51,-0.5689,-0.1416,4
Ahmedabad,2000,5,-1.553,40.3,41.86,25.68,-3.7981,0.0626,3
Ahmedabad,2000,6,-1.1223,39.21,40.33,25.15,-1.7559,-0.3383,3
Ahmedabad,2000,9,0.0334,36.2,36.17,23.58,-1.1859,1.6615,4
Ahmedabad,2000,10,-0.7075,37.68,38.39,21.59,-1.1294,-0.182,4
Ahmedabad,2000,11,-0.6056,34.53,35.14,16.72,-0.6761,-0.5677,3
Ahmedabad,2000,12,-0.3693,32.0,32.37,13.6,-0.4671,-0.3051,4
Ahmedabad,2001,1,-0.1725,29.62,29.79,12.88,-0.2945,-0.0395,4
Ahmedabad,2001,2,-0.3853,33.29,33.68,14.87,-0.4975,-0.2811,4
Ahmedabad,2001,3,-0.4473,40.33,40.77,20.49,-0.5905,-0.2508,4
Ahmedabad,2001,4,-0.4378,45.43,45.87,24.71,-0.643,-0.2947,3
Ahmedabad,2001,5,-0.8653,44.65,45.52,26.93,-1.5532,-0.3153,4
Ahmedabad,2001,6,-5.8402,39.21,45.05,25.04,-5.8402,-5.8402,1
Ahmedabad,2001,8,2.2544,30.51,28.26,22.19,0.1188,5.1503,3
Ahmedabad,2001,9,0.206,35.47,35.26,23.56,-0.683,0.6943,4
Ahmedabad,2001,10,0.026,37.81,37.79,21.93,-0.101,0.1318,3
Ahmedabad,2001,11,-0.0698,35.48,35.55,17.35,-0.1053,0.0028,4
Ahmedabad,2001,12,0.0385,31.26,31.22,14.5,0.0215,0.0648,4
Ahmedabad,2002,1,0.0573,28.25,28.19,12.91,-0.0786,0.1622,4
Ahmedabad,2002,2,0.2199,33.42,33.2,15.85,0.0787,0.32,4
Ahmedabad,2002,3,-0.2062,41.89,42.1,20.65,-0.4132,0.1179,4
Ahmedabad,2002,4,-0.4821,44.76,45.24,25.12,-0.8173,0.012,3
Ahmedabad,2002,5,-0.3605,43.22,43.58,27.61,-0.5491,-0.0583,4
Ahmedabad,2002,6,-0.3554,42.51,42.87,27.61,-1.0097,0.2989,2
Ahmedabad,2002,7,-2.4583,34.1,36.56,21.98,-2.4583,-2.4583,1
Ahmedabad,2002,9,-0.1953,35.54,35.73,23.74,-0.9877,0.192,4
Ahmedabad,2002,10,0.2028,38.72,38.52,21.92,0.0215,0.3925,3
Ahmedabad,2002,11,0.3299,35.65,35.32,17.29,0.3064,0.3679,4
Ahmedabad,2002,12,0.4158,31.68,31.27,15.33,0.3308,0.6109,4
Ahmedabad,2003,1,0.6817,29.47,28.79,15.01,0.6168,0.8381,4
Ahmedabad,2003,2,0.6407,32.4,31.76,16.69,0.3925,0.9912,4
Ahmedabad,2003,3,-0.0679,40.11,40.18,21.09,-0.4763,0.1667,4
Ahmedabad,2003,4,-0.2822,44.87,45.16,26.1,-0.4468,-0.0107,3
Ahmedabad,2003,5,-0.3875,44.03,44.42,26.95,-0.89,-0.0738,4
Ahmedabad,2003,6,-0.5447,43.7,44.24,27.97,-0.9783,-0.111,2
Ahmedabad,2003,8,0.3544,29.6,29.24,21.53,-0.1069,0.8157,2
Ahmedabad,2003,9,0.8377,32.19,31.35,23.49,-0.098,1.719,3
Ahmedabad,2003,10,0.7552,36.48,35.72,20.41,0.6237,0.8614,3
Ahmedabad,2003,11,0.4507,34.64,34.19,19.48,0.2271,0.7146,4
Ahmedabad,2003,12,0.4709,29.56,29.09,14.47,0.1869,0.6711,4
Ahmedabad,2004,1,0.7242,28.61,27.88,13.76,0.5929,0.8313,4
Ahmedabad,2004,2,0.7066,33.62,32.91,15.94,0.5752,0.788,4
Ahmedabad,2004,3,0.3983,42.14,41.74,21.78,0.2527,0.596,4
Ahmedabad,2004,4,-0.2496,44.0,44.25,25.79,-0.6329,0.0358,4
Ahmedabad,2004,5,-0.7837,40.79,41.57,27.41,-2.0806,-0.0803,3
Ahmedabad,2004,6,-1.147,39.47,40.61,25.77,-1.7873,-0.6175,3
Ahmedabad,2004,7,-0.0039,35.73,35.74,23.25,-0.0039,-0.0039,1
Ahmedabad,2004,8,0.2191,34.0,33.78,23.18,0.2191,0.2191,1
Ahmedabad,2004,9,0.7175,36.59,35.87,24.8,-0.1579,1.5452,4
Ahmedabad,2004,10,0.5252,33.39,32.86,19.94,0.3853,0.5873,4
Ahmedabad,2004,11,0.4699,34.08,33.61,19.32,0.37,0.5212,3
Ahmedabad,2004,12,0.386,29.86,29.48,15.45,0.1538,0.4996,4
Ahmedabad,2005,1,0.5232,27.17,26.64,12.49,0.2283,0.6983,4
Ahmedabad,2005,2,0.7682,32.15,31.38,15.88,0.6096,0.8478,4
Ahmedabad,2005,3,0.4315,40.9,40.47,20.49,0.1513,0.8152,4
Ahmedabad,2005,4,-0.0797,44.82,44.9,23.07,-0.4224,0.1052,3
Ahmedabad,2005,5,-0.374,44.63,45.0,27.79,-0.4838,-0.2971,4
Ahmedabad,2005,6,-0.3092,42.51,42.82,28.05,-0.5818,0.0486,3
Ahmedabad,2005,8,1.0102,34.24,33.23,22.23,-0.4592,2.4795,2
Ahmedabad,2005,9,0.3028,31.67,31.37,23.74,0.2913,0.3143,2
Ahmedabad,2005,10,0.298,34.49,34.19,20.99,0.162,0.4082,3
Ahmedabad,2005,11,0.1861,33.11,32.93,17.06,0.1531,0.2451,4
Ahmedabad,2005,12,0.2864,28.5,28.21,13.22,0.1828,0.373,4
Ahmedabad,2006,1,0.6844,28.61,27.92,13.58,0.5805,0.8571,4
Ahmedabad,2006,2,0.9211,34.09,33.17,18.42,0.5923,1.0994,4
Ahmedabad,2006,3,0.3915,39.11,38.72,20.7,-0.033,0.7593,4
Ahmedabad,2006,4,0.0859,43.45,43.36,25.46,-0.177,0.4604,3
Ahmedabad,2006,5,-0.1956,44.04,44.23,27.24,-0.3226,-0.0932,4
Ahmedabad,2006,6,-1.3784,36.75,38.13,26.76,-2.7505,-0.0223,4
Ahmedabad,2006,8,-2.3482,28.29,30.64,21.81,-2.3482,-2.3482,1
Ahmedabad,2006,9,-0.4264,31.23,31.65,25.08,-3.7407,0.9184,4
Ahmedabad,2006,10,0.3774,36.17,35.79,22.57,0.3382,0.4251,3
Ahmedabad,2006,11,0.2852,33.98,33.69,18.26,0.2633,0.3349,4
Ahmedabad,2006,12,0.2985,30.08,29.78,15.88,0.0407,0.4803,4
Ahmedabad,2007,1,0.9175,28.52,27.61,14.11,0.8142,1.0013,4
Ahmedabad,2007,2,0.6727,32.67,31.99,17.64,0.5193,0.7973,4
Ahmedabad,2007,3,0.3991,40.45,40.05,21.19,0.2227,0.4748,4
Ahmedabad,2007,4,-0.0485,44.01,44.06,25.99,-0.0974,0.0093,3
Ahmedabad,2007,5,-0.3259,43.69,44.02,27.43,-0.8273,-0.0315,4
