city,year,avg_uhi,moving_avg_5yr
Ahmedabad,2000,-0.5531,-0.2733
Ahmedabad,2001,-0.1867,-0.1327
Ahmedabad,2002,-0.0801,-0.0617
Ahmedabad,2003,0.2893,0.101
Ahmedabad,2004,0.2222,0.1454
Ahmedabad,2005,0.2605,0.1849
Ahmedabad,2006,0.0349,0.2322
Ahmedabad,2007,0.1176,0.2827
Ahmedabad,2008,0.5258,0.2943
Ahmedabad,2009,0.4748,0.3752
Ahmedabad,2010,0.3182,0.4175
Ahmedabad,2011,0.4397,0.3946
Ahmedabad,2012,0.3288,0.3591
Ahmedabad,2013,0.4113,0.3829
Ahmedabad,2014,0.2976,0.3987
Ahmedabad,2015,0.437,0.4618
Ahmedabad,2016,0.519,0.4655
Ahmedabad,2017,0.6443,0.5152
Ahmedabad,2018,0.4296,0.5842
Ahmedabad,2019,0.5462,0.5826
Ahmedabad,2020,0.7817,0.5528
Ahmedabad,2021,0.5113,0.5741
Ahmedabad,2022,0.4954,0.5698
Ahmedabad,2023,0.5361,0.5169
Ahmedabad,2024,0.5246,0.5187
Bangalore,2000,-0.7332,-0.6307
Bangalore,2001,-0.4584,-0.6213
Bangalore,2002,-0.7005,-0.6497
Bangalore,2003,-0.5931,-0.5948
Bangalore,2004,-0.7632,-0.6309
Bangalore,2005,-0.4588,-0.6485
Bangalore,2006,-0.6387,-0.6638
Bangalore,2007,-0.7886,-0.6487
Bangalore,2008,-0.6696,-0.6546
Bangalore,2009,-0.6878,-0.6956
Bangalore,2010,-0.4884,-0.6851
Bangalore,2011,-0.8438,-0.6989
Bangalore,2012,-0.7357,-0.6876
Bangalore,2013,-0.7387,-0.7335
Bangalore,2014,-0.6312,-0.7759
Bangalore,2015,-0.7182,-0.755
Bangalore,2016,-1.0555,-0.7281
Bangalore,2017,-0.6314,-0.8207
Bangalore,2018,-0.604,-0.8504
Bangalore,2019,-1.0944,-0.8076
Bangalore,2020,-0.8665,-0.7849
Bangalore,2021,-0.8417,-0.8345
Bangalore,2022,-0.5177,-0.7969
Bangalore,2023,-0.8524,-0.7796
Bangalore,2024,-0.9064,-0.7588
Chennai,2000,-0.6654,-0.493
Chennai,2001,-0.1962,-0.4086
Chennai,2002,-0.6173,-0.3612
Chennai,2003,-0.1554,-0.3487
Chennai,2004,-0.1716,-0.4165
Chennai,2005,-0.6028,-0.4366
Chennai,2006,-0.5352,-0.5546
Chennai,2007,-0.7179,-0.5785
Chennai,2008,-0.7456,-0.4988
Chennai,2009,-0.2908,-0.4629
Chennai,2010,-0.2043,-0.3627
Chennai,2011,-0.3559,-0.3056
Chennai,2012,-0.2168,-0.2775
Chennai,2013,-0.4604,-0.3096
Chennai,2014,-0.1501,-0.1926
Chennai,2015,-0.3648,-0.078
Chennai,2016,0.2292,-0.0507
Chennai,2017,0.3561,-0.0963
Chennai,2018,-0.3239,-0.0106
Chennai,2019,-0.3782,-0.1109
Chennai,2020,0.0637,-0.2515
Chennai,2021,-0.2722,-0.2337
Chennai,2022,-0.3468,-0.2706
Chennai,2023,-0.2352,-0.3542
Chennai,2024,-0.5625,-0.3815
Delhi,2000,0.5782,0.3974
Delhi,2001,0.1112,0.335
Delhi,2002,0.5029,0.3403
Delhi,2003,0.1477,0.2881
Delhi,2004,0.3617,0.288
Delhi,2005,0.3171,0.247
Delhi,2006,0.1108,0.2598
Delhi,2007,0.2976,0.2574
Delhi,2008,0.2116,0.2169
Delhi,2009,0.3501,0.2295
Delhi,2010,0.1146,0.257
Delhi,2011,0.1736,0.2245
Delhi,2012,0.4351,0.2066
Delhi,2013,0.0493,0.239
Delhi,2014,0.2606,0.2977
Delhi,2015,0.2765,0.2546
Delhi,2016,0.4669,0.3099
Delhi,2017,0.2195,0.3067
Delhi,2018,0.3258,0.2931
Delhi,2019,0.2448,0.19
Delhi,2020,0.2084,0.1577
Delhi,2021,-0.0483,0.0992
Delhi,2022,0.0579,0.0443
Delhi,2023,0.0333,0.0033
Delhi,2024,-0.0299,0.0204
Hyderabad,2000,-1.1062,-1.1496
Hyderabad,2001,-1.2665,-1.0636
Hyderabad,2002,-1.0761,-0.9656
Hyderabad,2003,-0.8056,-0.8698
Hyderabad,2004,-0.5737,-0.7947
