city,slope_per_year,rate_per_decade_c,r_squared,first_year_uhi,last_year_uhi,overall_change,trend
Ahmedabad,0.030695,0.307,0.615,-0.5531,0.5246,1.0777,Warming
Kolkata,0.020063,0.2006,0.6827,0.1161,0.4748,0.3587,Warming
Kochi,0.016567,0.1657,0.4945,0.2797,0.7111,0.4314,Warming
Chennai,0.012487,0.1249,0.1131,-0.6654,-0.5625,0.1029,Warming
Mumbai,0.010268,0.1027,0.0509,-1.9412,-2.2808,-0.3396,Warming
Surat,0.006461,0.0646,0.1344,-0.5071,-0.0191,0.488,Warming
Pune,-0.005899,-0.059,0.0549,-0.1775,0.066,0.2435,Cooling
Bangalore,-0.009937,-0.0994,0.1972,-0.7332,-0.9064,-0.1732,Cooling
Delhi,-0.010948,-0.1095,0.2402,0.5782,-0.0299,-0.6081,Cooling
Jaipur,-0.013779,-0.1378,0.223,-0.6277,-0.8168,-0.1891,Cooling
Hyderabad,-0.018275,-0.1828,0.1634,-1.1062,-1.0543,0.0519,Cooling
