city,season,avg_uhi,avg_urban_lst,avg_rural_lst,std_uhi,observations
Ahmedabad,Monsoon,0.1018,35.77,35.67,1.4836,181
Ahmedabad,Post-Monsoon,0.342,34.12,33.78,0.3499,173
Ahmedabad,Pre-Monsoon,0.0867,41.78,41.69,0.6552,275
Ahmedabad,Winter,0.7147,29.83,29.11,0.4511,292
Bangalore,Monsoon,-0.8073,30.85,31.65,1.1917,200
Bangalore,Post-Monsoon,-0.0421,28.85,28.89,0.6969,150
Bangalore,Pre-Monsoon,-0.9854,35.91,36.89,0.6266,272
Bangalore,Winter,-0.7578,30.64,31.4,0.5377,291
Chennai,Monsoon,-0.0976,35.58,35.68,1.7984,249
Chennai,Post-Monsoon,0.0381,30.64,30.6,1.3485,131
Chennai,Pre-Monsoon,-0.7487,36.86,37.61,0.9346,263
Chennai,Winter,-0.2671,30.24,30.5,1.1511,280
Delhi,Monsoon,0.3714,34.52,34.15,1.1751,332
Delhi,Post-Monsoon,-0.0965,29.62,29.71,0.469,173
Delhi,Pre-Monsoon,0.2645,36.16,35.89,0.6572,275
Delhi,Winter,0.2307,20.75,20.52,0.5925,276
Hyderabad,Monsoon,-0.8529,32.92,33.77,1.8972,240
Hyderabad,Post-Monsoon,-0.5015,30.97,31.47,0.7322,168
Hyderabad,Pre-Monsoon,-1.6148,39.66,41.28,0.9332,274
Hyderabad,Winter,-1.2594,31.76,33.02,0.4184,292
Jaipur,Monsoon,-0.4694,36.38,36.85,0.9509,320
Jaipur,Post-Monsoon,-1.1319,33.11,34.24,0.4123,174
Jaipur,Pre-Monsoon,-0.8837,40.73,41.62,0.5538,275
Jaipur,Winter,-0.3046,25.6,25.9,0.6158,288
Kochi,Monsoon,0.3389,28.7,28.36,1.0979,202
Kochi,Post-Monsoon,0.4259,30.27,29.84,0.932,148
Kochi,Pre-Monsoon,0.42,32.23,31.81,0.9412,228
Kochi,Winter,0.586,31.28,30.69,0.5224,292
Kolkata,Monsoon,0.3424,30.83,30.49,0.8866,141
Kolkata,Post-Monsoon,0.6315,28.88,28.24,0.601,174
Kolkata,Pre-Monsoon,0.304,32.3,32.0,0.5765,266
Kolkata,Winter,0.1085,24.9,24.79,0.3547,292
Mumbai,Monsoon,-0.6171,30.2,30.81,2.154,161
Mumbai,Post-Monsoon,-0.9011,31.21,32.11,0.7891,174
Mumbai,Pre-Monsoon,-5.0097,35.35,40.36,1.0225,274
Mumbai,Winter,-2.7306,29.9,32.63,0.886,293
Pune,Monsoon,0.2105,33.81,33.6,2.0037,210
Pune,Post-Monsoon,0.7191,32.84,32.12,0.5227,172
Pune,Pre-Monsoon,-0.2853,43.28,43.57,0.473,275
Pune,Winter,0.1337,33.01,32.88,0.3449,293
Surat,Monsoon,-0.5824,31.79,32.37,1.1424,164
Surat,Post-Monsoon,-0.0306,33.19,33.22,0.3664,174
Surat,Pre-Monsoon,-0.2882,38.17,38.46,0.4729,275
Surat,Winter,-0.3017,30.78,31.08,0.2636,293
