city,p50_uhi,p75_uhi,p90_uhi,p95_uhi,p90_urban_lst,p95_urban_lst
Ahmedabad,0.363,0.7924,1.1479,1.3169,43.7,44.68
Bangalore,-0.7199,-0.2556,0.2742,0.5448,37.84,39.1
Chennai,-0.2704,0.3568,1.037,1.6386,38.83,39.99
Delhi,0.2271,0.6672,1.1264,1.3782,39.94,42.08
Hyderabad,-1.174,-0.6022,0.2109,0.5755,40.98,42.09
Jaipur,-0.6541,-0.2141,0.2266,0.5317,43.43,45.05
Kochi,0.5304,0.9536,1.4088,1.7636,33.48,34.0
Kolkata,0.276,0.6689,1.0718,1.2822,33.33,34.15
Mumbai,-2.6019,-0.9999,0.12,0.6378,36.14,36.75
Pune,0.1199,0.5592,1.0391,1.4791,44.72,46.26
Surat,-0.2695,0.0154,0.303,0.5126,39.33,40.17
