city,year,avg_uhi,avg_urban_lst,avg_rural_lst,avg_night_lst,std_uhi,min_uhi,max_uhi,observations
Ahmedabad,2000,-0.5531,38.05,38.6,21.04,0.8377,-3.7981,1.6615,30
Ahmedabad,2001,-0.1867,36.34,36.53,19.78,1.367,-5.8402,5.1503,38
Ahmedabad,2002,-0.0801,36.98,37.06,20.32,0.5697,-2.4583,0.6109,37
Ahmedabad,2003,0.2893,35.89,35.6,20.56,0.5613,-0.9783,1.719,37
Ahmedabad,2004,0.2222,36.04,35.82,20.87,0.6994,-2.0806,1.5452,39
Ahmedabad,2005,0.2605,35.76,35.5,19.89,0.5448,-0.5818,2.4795,37
Ahmedabad,2006,0.0349,35.35,35.32,21.13,1.0305,-3.7407,1.0994,39
Ahmedabad,2007,0.1176,35.62,35.5,20.54,0.7053,-2.3312,1.0013,38
Ahmedabad,2008,0.5258,34.86,34.33,19.91,0.4732,-0.2297,1.2732,35
Ahmedabad,2009,0.4748,36.61,36.14,21.41,1.0417,-1.6623,5.86,43
Ahmedabad,2010,0.3182,35.77,35.45,21.68,0.7607,-1.934,1.7579,37
Ahmedabad,2011,0.4397,35.36,34.92,20.4,0.6405,-2.0176,1.2872,33
Ahmedabad,2012,0.3288,35.02,34.69,20.22,1.0639,-4.8567,1.6113,38
Ahmedabad,2013,0.4113,34.55,34.14,20.49,0.5173,-0.5465,1.4272,35
Ahmedabad,2014,0.2976,34.93,34.64,21.19,0.5892,-1.1382,1.2418,39
Ahmedabad,2015,0.437,35.37,34.94,21.36,0.8838,-1.0419,3.1537,40
Ahmedabad,2016,0.519,35.29,34.77,20.92,1.3487,-1.2278,7.7575,36
Ahmedabad,2017,0.6443,35.07,34.43,21.16,0.5899,-0.7181,2.4443,38
Ahmedabad,2018,0.4296,35.82,35.39,21.11,0.5426,-0.7668,1.38,36
Ahmedabad,2019,0.5462,35.24,34.7,21.53,0.722,-2.1971,1.5052,37
Ahmedabad,2020,0.7817,35.08,34.29,21.16,0.881,-1.4048,3.9581,36
Ahmedabad,2021,0.5113,34.32,33.81,21.08,0.7927,-1.4535,2.5202,37
Ahmedabad,2022,0.4954,34.79,34.29,21.49,0.8093,-1.1683,2.9437,36
Ahmedabad,2023,0.5361,33.46,32.93,21.65,0.7714,-1.8392,1.7396,36
Ahmedabad,2024,0.5246,32.62,32.09,22.29,0.6307,-1.0865,1.601,34
Bangalore,2000,-0.7332,32.06,32.8,18.86,0.658,-1.6698,0.6163,31
Bangalore,2001,-0.4584,32.78,33.24,19.41,0.5459,-1.6933,0.5088,33
Bangalore,2002,-0.7005,33.18,33.88,19.23,1.0187,-4.904,1.2478,37
Bangalore,2003,-0.5931,33.5,34.09,20.2,0.6299,-2.4202,0.7664,37
Bangalore,2004,-0.7632,31.75,32.51,19.23,0.8231,-3.4558,0.7618,38
Bangalore,2005,-0.4588,31.84,32.3,19.58,0.8875,-2.6151,2.41,38
Bangalore,2006,-0.6387,32.07,32.71,19.15,0.5924,-2.0146,0.371,39
Bangalore,2007,-0.7886,32.91,33.7,19.67,0.6455,-2.658,0.5222,34
Bangalore,2008,-0.6696,31.0,31.67,19.06,0.5927,-2.23,0.5282,37
Bangalore,2009,-0.6878,31.78,32.46,19.75,0.6442,-3.3214,0.3948,43
Bangalore,2010,-0.4884,31.99,32.48,20.16,0.8542,-2.1287,2.1312,36
Bangalore,2011,-0.8438,31.49,32.34,19.3,0.8011,-3.4574,0.2607,36
Bangalore,2012,-0.7357,33.13,33.86,19.88,0.7223,-2.5551,0.7691,38
Bangalore,2013,-0.7387,32.39,33.13,20.27,0.7807,-2.1162,1.3867,35
Bangalore,2014,-0.6312,32.37,33.0,20.39,0.7674,-2.2251,0.726,39
Bangalore,2015,-0.7182,31.45,32.17,20.31,1.3802,-7.3046,1.6497,38
Bangalore,2016,-1.0555,32.92,33.98,20.49,0.901,-5.4109,0.349,34
Bangalore,2017,-0.6314,32.13,32.76,20.55,1.1966,-4.2035,3.2477,37
Bangalore,2018,-0.604,31.36,31.97,19.87,0.5981,-2.0968,0.7918,38
Bangalore,2019,-1.0944,32.49,33.59,21.1,1.0219,-4.4656,0.5465,35
Bangalore,2020,-0.8665,31.98,32.85,20.88,0.8713,-2.6448,0.9738,36
Bangalore,2021,-0.8417,31.52,32.36,20.32,1.1186,-2.6116,1.8248,35
Bangalore,2022,-0.5177,29.93,30.45,20.18,0.7792,-2.5986,1.1548,35
Bangalore,2023,-0.8524,30.54,31.39,20.72,0.4841,-2.0691,-0.1222,36
Bangalore,2024,-0.9064,30.62,31.53,21.64,0.7477,-2.3859,0.4963,38
Chennai,2000,-0.6654,34.25,34.92,24.45,1.8809,-6.3244,4.7026,30
Chennai,2001,-0.1962,34.61,34.81,24.2,1.7736,-6.8517,4.4501,39
Chennai,2002,-0.6173,33.42,34.03,24.55,1.3385,-5.0561,2.4946,39
Chennai,2003,-0.1554,34.48,34.63,24.4,1.1005,-2.2598,2.5005,33
Chennai,2004,-0.1716,34.64,34.81,24.06,1.175,-2.3333,3.1467,39
Chennai,2005,-0.6028,33.5,34.11,24.62,1.3062,-3.6906,3.22,37
Chennai,2006,-0.5352,33.2,33.74,24.61,1.3195,-4.7433,3.4761,36
Chennai,2007,-0.7179,33.35,34.07,24.53,1.018,-4.045,1.5296,39
Chennai,2008,-0.7456,32.2,32.94,24.73,1.3436,-4.938,1.5167,39
Chennai,2009,-0.2908,34.52,34.81,24.54,0.9647,-2.3043,2.3334,38
Chennai,2010,-0.2043,32.74,32.94,25.26,1.2564,-2.264,3.0231,37
Chennai,2011,-0.3559,32.64,32.99,24.29,1.3729,-2.5583,4.3909,38
Chennai,2012,-0.2168,34.34,34.56,24.96,0.9713,-1.986,2.4311,37
Chennai,2013,-0.4604,32.96,33.42,24.32,1.5929,-7.082,2.8973,35
Chennai,2014,-0.1501,34.48,34.63,24.93,0.9902,-2.1006,1.9277,38
Chennai,2015,-0.3648,34.24,34.6,24.99,1.0001,-2.1892,1.6386,36
Chennai,2016,0.2292,34.12,33.89,25.27,0.9453,-2.7837,2.0148,39
Chennai,2017,0.3561,35.03,34.68,25.03,1.1933,-1.6339,4.2684,38
Chennai,2018,-0.3239,34.12,34.44,24.51,1.5392,-4.6158,3.0537,38
Chennai,2019,-0.3782,35.05,35.43,25.21,1.8578,-5.7846,3.8162,39
Chennai,2020,0.0637,33.63,33.57,25.16,1.1932,-3.214,4.5174,34
Chennai,2021,-0.2722,33.18,33.45,25.44,1.345,-5.9936,2.1571,35
Chennai,2022,-0.3468,32.21,32.56,25.24,1.6019,-4.6594,2.9851,37
Chennai,2023,-0.2352,32.23,32.46,25.08,1.6939,-6.2633,4.5622,37
