city,year,avg_uhi,avg_urban_lst,obs,prev_year_uhi,yoy_change,trend
Ahmedabad,2000,-0.5531,38.05,30,,,→ Stable
Ahmedabad,2001,-0.1867,36.34,38,-0.5531,0.3664,↑ Increasing
Ahmedabad,2002,-0.0801,36.98,37,-0.1867,0.1066,↑ Increasing
Ahmedabad,2003,0.2893,35.89,37,-0.0801,0.3694,↑ Increasing
Ahmedabad,2004,0.2222,36.04,39,0.2893,-0.0671,→ Stable
Ahmedabad,2005,0.2605,35.76,37,0.2222,0.0383,→ Stable
Ahmedabad,2006,0.0349,35.35,39,0.2605,-0.2256,↓ Decreasing
Ahmedabad,2007,0.1176,35.62,38,0.0349,0.0827,→ Stable
Ahmedabad,2008,0.5258,34.86,35,0.1176,0.4082,↑ Increasing
Ahmedabad,2009,0.4748,36.61,43,0.5258,-0.051,→ Stable
Ahmedabad,2010,0.3182,35.77,37,0.4748,-0.1566,↓ Decreasing
Ahmedabad,2011,0.4397,35.36,33,0.3182,0.1215,↑ Increasing
Ahmedabad,2012,0.3288,35.02,38,0.4397,-0.1109,↓ Decreasing
Ahmedabad,2013,0.4113,34.55,35,0.3288,0.0825,→ Stable
Ahmedabad,2014,0.2976,34.93,39,0.4113,-0.1137,↓ Decreasing
Ahmedabad,2015,0.437,35.37,40,0.2976,0.1394,↑ Increasing
Ahmedabad,2016,0.519,35.29,36,0.437,0.082,→ Stable
Ahmedabad,2017,0.6443,35.07,38,0.519,0.1253,↑ Increasing
Ahmedabad,2018,0.4296,35.82,36,0.6443,-0.2147,↓ Decreasing
Ahmedabad,2019,0.5462,35.24,37,0.4296,0.1166,↑ Increasing
Ahmedabad,2020,0.7817,35.08,36,0.5462,0.2355,↑ Increasing
Ahmedabad,2021,0.5113,34.32,37,0.7817,-0.2704,↓ Decreasing
Ahmedabad,2022,0.4954,34.79,36,0.5113,-0.0159,→ Stable
Ahmedabad,2023,0.5361,33.46,36,0.4954,0.0407,→ Stable
Ahmedabad,2024,0.5246,32.62,34,0.5361,-0.0115,→ Stable
Bangalore,2000,-0.7332,32.06,31,,,→ Stable
Bangalore,2001,-0.4584,32.78,33,-0.7332,0.2748,↑ Increasing
Bangalore,2002,-0.7005,33.18,37,-0.4584,-0.2421,↓ Decreasing
